gid,seas,wk,day,v,h,stad,temp,humd,wspd,wdir,cond,surf,ou,sprv,ptsv,ptsh
3432,2012,17,SUN,TB,ATL,Georgia Dome,,,,,Dome,AstroTurf,45.5,3.5,22,17
3433,2012,17,SUN,PHI,NYG,MetLife Stadium,32,50,13,WNW,Windy,FieldTurf,45.5,7,7,42
3434,2012,17,SUN,CHI,DET,Ford Field,,,,,Dome,FieldTurf,45,-3,26,24
3435,2012,17,SUN,MIA,NE,Gillette Stadium,28,45,15,NW,Partly Cloudy,FieldTurf,46,10,0,28
3436,2012,17,SUN,CAR,NO,Mercedes-Benz Superdome,,,,,Dome,UBU Speed Series S5M,54,4.5,44,38
3437,2012,17,SUN,CLE,PIT,Heinz Field,28,78,12,WSW,Cloudy,Grass,34.5,11,10,24
3438,2012,17,SUN,JAC,TEN,LP Field,39,50,4,S,Sunny,Grass,41.5,4,20,38
3439,2012,17,SUN,GB,MIN,Mall of America Field at HHH Metrodome,65,,,,Dome,UBU Speed Series S5M,45.5,-3.5,34,37
3440,2012,17,SUN,ARI,SF,Candlestick Park,50,70,5,N,Sunny,Grass,39,16.5,13,27
3441,2012,17,SUN,KC,DEN,Sports Authority Field at Mile High,35,41,10,N,Partly Cloudy,Grass,42,16,3,38
3442,2012,17,SUN,OAK,SD,Qualcomm Stadium,50,80,3,S,Cloudy,Grass,39,10,21,24
3443,2012,17,SUN,STL,SEA,CenturyLink Field,41,77,1,WNW,Sunny,FieldTurf,42.5,11,13,20
3444,2012,17,SUN,DAL,WAS,FedExField,37,53,9,W,Cloudy,Grass,49.5,3,18,28
3445,2012,18,SAT,CIN,HOU,Reliant Stadium,,,,,Closed Roof,Grass,46.5,4,13,19
3446,2012,18,SAT,MIN,GB,Lambeau Field,29,78,9,SW,Cloudy,DD GrassMaster,45.5,9.5,10,24
3447,2012,18,SUN,IND,BAL,M&T Bank Stadium,49,36,8,WSW,Partly Cloudy,MomentumTurf,47,7,9,24
3448,2012,18,SUN,SEA,WAS,FedExField,52,44,3,SW,Cloudy,Grass,46.5,-3,24,14
3449,2012,19,SAT,BAL,DEN,Sports Authority Field at Mile High,13,62,8,E,Partly Cloudy,Grass,46,9.5,38,35
3450,2012,19,SAT,GB,SF,Candlestick Park,48,50,5,W,Cloudy,Grass,45,3,31,45
3451,2012,19,SUN,SEA,ATL,Georgia Dome,,,,,Dome,AstroTurf,46.5,3,28,30
3452,2012,19,SUN,HOU,NE,Gillette Stadium,51,87,10,S,Cloudy,FieldTurf,50.5,9.5,28,41
3453,2012,20,SUN,SF,ATL,Georgia Dome,,,,,Dome,AstroTurf,48.5,-4,28,24
3454,2012,20,SUN,BAL,NE,Gillette Stadium,41,34,23,NW,Clear,FieldTurf,51,8.5,28,13
3455,2012,21,SB,BAL,SF,Mercedes-Benz Superdome,71,,,,Dome,UBU Speed Series S5M,47.5,4.5,34,31
3456,2013,1,THU,BAL,DEN,Sports Authority Field at Mile High,83,30,7,NW,Light Rain,Grass,48,7.5,27,49
3457,2013,1,SUN,NE,BUF,Ralph Wilson Stadium,65,55,11,NE,Sunny,A Turf Titan,51,-9.5,23,21
3458,2013,1,SUN,CIN,CHI,Soldier Field,73,79,11,ENE,Cloudy,Grass,41.5,3,21,24
3459,2013,1,SUN,MIA,CLE,FirstEnergy Stadium,70,80,13,NE,Sunny,Grass,41,1,23,10
3460,2013,1,SUN,OAK,IND,Lucas Oil Stadium,,,,,Closed Roof,AstroTurf,47,10,17,21
3461,2013,1,SUN,KC,JAC,Everbank Field,85,55,10,NE,Clear,Grass,42.5,-4,28,2
3462,2013,1,SUN,TB,NYJ,MetLife,82,50,9,WNW,,FieldTurf,39.5,-3.5,17,18
3463,2013,1,SUN,TEN,PIT,Heinz Field,73,76,9,N,Cloudy,Grass,42,7,16,9
3464,2013,1,SUN,ATL,NO,Mercedes-Benz Superdome,,,,,Dome,UBU Speed Series S5M,54.5,3,17,23
3465,2013,1,SUN,SEA,CAR,Bank of America Stadium,87,48,7,N,Partly Cloudy,Grass,45,-3.5,12,7
3466,2013,1,SUN,MIN,DET,Ford Field,,,,,Dome,FieldTurf,46.5,5,24,34
3467,2013,1,SUN,GB,SF,Candlestick Park,69,67,6,N,Sunny,Grass,48.5,4.5,28,34
3468,2013,1,SUN,ARI,STL,Edward Jones Dome,,,,,Dome,AstroTurf,41.5,4.5,24,27
3469,2013,1,SN,NYG,DAL,AT&T Stadium,,,,,Closed Roof,AstroTurf,48.5,3.5,31,36
3470,2013,1,MN,PHI,WAS,FedEx Field,80,52,9,S,Cloudy,Grass,52,3.5,33,27
3471,2013,1,MN,HOU,SD,Qualcomm Stadium,70,73,10,WNW,Partly Cloudy,Grass,44,-3.5,31,28
3472,2013,2,THU,NYJ,NE,Gillette Stadium,72,89,8,S,Cloudy,FieldTurf,43.5,12,10,13
3473,2013,2,SUN,DAL,KC,Arrowhead Stadium,72,69,6,SW,Sunny,Grass,46.5,1.5,16,17
3474,2013,2,SUN,STL,ATL,Georgia Dome,,,,,Dome,AstroTurf,46.5,6,24,31
3475,2013,2,SUN,SD,PHI,Lincoln Financial Field,71,40,6,SW,Sunny,Grass,55,7,33,30
3476,2013,2,SUN,TEN,HOU,Reliant Stadium,,,,,Closed Roof,Grass,43,9.5,24,30
3477,2013,2,SUN,MIA,IND,Lucas Oil Stadium,72,41,9,SSW,Partly Cloudy,AstroTurf,43.5,2,24,20
3478,2013,2,SUN,CAR,BUF,Ralph Wilson Stadium,65,59,10,WSW,Mostly Cloudy,A Turf Titan,43.5,-3,23,24
3479,2013,2,SUN,CLE,BAL,M&T Bank Stadium,75,37,6,SSW,Partly Cloudy,MomentumTurf,43.5,6.5,6,14
3480,2013,2,SUN,WAS,GB,Lambeau Field,56,100,4,SE,Rain,DD GrassMaster,49.5,7,20,38
3481,2013,2,SUN,MIN,CHI,Soldier Field,60,76,6,ESE,Rain,Grass,42,5.5,30,31
3482,2013,2,SUN,NO,TB,Raymond James Stadium,93,47,8,E,Cloudy,Grass,47,-3,16,14
3483,2013,2,SUN,DET,ARI,University of Phoenix Stadium,,,,,Closed Roof,Grass,48.5,-1.5,21,25
3484,2013,2,SUN,JAC,OAK,O.Co Coliseum,76,52,10,W,Sunny,Grass,39.5,5.5,9,19
3485,2013,2,SUN,DEN,NYG,MetLife Stadium,70,33,3,SSW,Sunny,UBU Speed Series S5M,54.5,-4,41,23
3486,2013,2,SN,SF,SEA,CenturyLink Field,64,81,6,SSW,Cloudy,FieldTurf,44,3,3,29
3487,2013,2,MN,PIT,CIN,Paul Brown Stadium,62,75,5,ENE,Clear,UBU Speed Series S5M,41,7,10,20
3488,2013,3,THU,KC,PHI,Lincoln Financial Field,73,43,4,SW,Clear,Grass,50.5,3,26,16
3489,2013,3,SUN,TB,NE,Gillette Stadium,65,72,9,WNW,Sunny,FieldTurf,43.5,7,3,23
3490,2013,3,SUN,ARI,NO,Mercedes-Benz Superdome,,,,,Dome,UBU Speed Series S5M,48.5,7,7,31
3491,2013,3,SUN,SD,TEN,LP Field,72,46,7,ENE,Sunny,Grass,43.5,3,17,20
3492,2013,3,SUN,GB,CIN,Paul Brown Stadium,63,52,13,NNE,Partly Cloudy,UBU Speed Series S5M,48.5,-2.5,30,34
3493,2013,3,SUN,HOU,BAL,M&T Bank Stadium,73,44,9,NNW,Sunny,MomentumTurf,44.5,-2.5,9,30
3494,2013,3,SUN,CLE,MIN,Mall of America Field at HHH Metrodome,67,,,,Dome,UBU Speed Series S5M,40.5,6.5,31,27
3495,2013,3,SUN,NYG,CAR,Bank of America Stadiium,75,52,15,N,Sunny,Grass,45.5,1,0,38
3496,2013,3,SUN,STL,DAL,AT&T Stadium,,,,,Closed Roof,AstroTurf,47,4,7,31
3497,2013,3,SUN,DET,WAS,FedEx Field,72,51,8,NNW,Sunny,Grass,48.5,1.5,27,20
3498,2013,3,SUN,ATL,MIA,Sun Life Stadium,89,58,8,S,Cloudy,Grass,44.5,3,23,27
3499,2013,3,SUN,JAC,SEA,CenturyLink Field,,,,,Rain,FieldTurf,40.5,19,17,45
3500,2013,3,SUN,IND,SF,Candlestick Park,66,63,5,NE,Sunny,Grass,46,10,27,7
3501,2013,3,SUN,BUF,NYJ,MetLife Stadium,67,46,24,NW,,FieldTurf,38.5,2.5,20,27
3502,2013,3,SN,CHI,PIT,Heinz Field,56,72,5,NNW,Cloudy,Grass,40.5,-2.5,40,23
3503,2013,3,MN,OAK,DEN,Sports Authority Field at Mile High,64,28,16,NW,Clear,Grass,49,14.5,21,37
3504,2013,4,THU,SF,STL,Edward Jones Dome,,,,,Dome,AstroTurf,42,-3,35,11
3505,2013,4,SUN,CHI,DET,Ford Field,,,,,Dome,FieldTurf,47.5,3,32,40
3506,2013,4,SUN,IND,JAC,EverBank Field,,,,,Chance Rain,Grass,42.5,-8,37,3
3507,2013,4,SUN,SEA,HOU,Reliant Stadium,,,,,Closed Roof,Grass,41.5,-1,23,20
3508,2013,4,SUN,CIN,CLE,FirstEnergy Stadium,68,67,9,S,Cloudy,Grass,42.5,-3.5,6,17
3509,2013,4,SUN,BAL,BUF,Ralph Wilson Stadium,67,57,15,SSW,Mostly Sunny,A Turf Titan,44,-3,20,23
3510,2013,4,SUN,PIT,MIN,Wembley Stadium,54,86,11,E,Partly Cloudy,Grass,41.5,-3,27,34
3511,2013,4,SUN,ARI,TB,Raymond James Stadium,84,55,5,N,Sunny,Grass,40.5,2.5,13,10
3512,2013,4,SUN,NYG,KC,Arrowhead Stadium,66,65,,CALM,Sunny,Grass,44,4,7,31
3513,2013,4,SUN,NYJ,TEN,LP Field,74,51,4,SW,Cloudy,Grass,40.5,3.5,13,38
3514,2013,4,SUN,DAL,SD,Qualcomm Stadium,80,27,7,WNW,Sunny,Grass,46.5,-2,21,30
3515,2013,4,SUN,WAS,OAK,O.co Coliseum,77,52,13,W,Sunny,Grass,44,-3,24,14
3516,2013,4,SUN,PHI,DEN,Sports Authority Field at Mile High,76,16,8,NE,Partly Cloudy,Grass,58,11,20,52
3517,2013,4,SN,NE,ATL,Georgia Dome,,,,,Dome,AstroTurf,49.5,2,30,23
3518,2013,4,MN,MIA,NO,Mercedes-Benz Superdome,,,,,Dome,UBU Speed Series S5M,48,6.5,17,38
3519,2013,5,THU,BUF,CLE,FirstEnergy Stadium,75,73,6,SSW,Cloudy,Grass,40.5,3.5,24,37
3520,2013,5,SUN,NE,CIN,Paul Brown Stadium,68,93,7,SSE,Cloudy,UBU Speed Series S5M,45.5,0,6,13
3521,2013,5,SUN,BAL,MIA,SunLife Stadium,87,56,5,SE,Sunny,Grass,43.5,3,26,23
3522,2013,5,SUN,SEA,IND,Lucas Oil Stadium,,,,,Closed Roof,AstroTurf,44,-3,28,34
3523,2013,5,SUN,KC,TEN,LP Field,74,83,10,WSW,Cloudy,Grass,38.5,-2.5,26,17
3524,2013,5,SUN,JAC,STL,Edward Jones Dome,,,,,Dome,AstroTurf,41,11.5,20,34
3525,2013,5,SUN,NO,CHI,Soldier Field,60,49,10,WSW,Sunny,Grass,48.5,0,26,18
3526,2013,5,SUN,DET,GB,Lambeau Field,59,59,10,W,Sunny,DD GrassMaster,53.5,7,9,22
3527,2013,5,SUN,PHI,NYG,MetLife Stadium,66,100,6,ESE,Mostly Cloudy,UBU Speed Series S5M,53,1,36,21
3528,2013,5,SUN,CAR,ARI,University of Phoenix Stadium,,,,,Closed Roof,Grass,42,-1.5,6,22
3529,2013,5,SUN,DEN,DAL,AT&T Stadium,,,,,Closed Roof,AstroTurf,56,-7.5,51,48
3530,2013,5,SN,HOU,SF,Candlestick Park,76,40,9,N,Sunny,Grass,41.5,6,3,34
3531,2013,5,SN,SD,OAK,O.Co Coliseum,70,,2,WNW,Partly Cloudy,Grass,45,-4.5,17,27
3532,2013,5,MN,NYJ,ATL,Georgia Dome,,,,,Dome,AstroTurf,43.5,9.5,30,28
3533,2013,6,THU,NYG,CHI,Soldier Field,,,,,Clear,Grass,47,7.5,21,27
3534,2013,6,SUN,CAR,MIN,Mall of America Field at HHH Metrodome,64,,,,Dome,UBU Speed Series S5M,44,2.5,35,10
3535,2013,6,SUN,PHI,TB,Raymond James Stadium,82,42,3,,Cloudy,Grass,45.5,-2.5,31,20
3536,2013,6,SUN,PIT,NYJ,MetLife,62,68,15,NE,Cloudy,FieldTurf,41,1,19,6
3537,2013,6,SUN,OAK,KC,Arrowhead Stadium,63,41,7,ENE,Sunny,Grass,41,8,7,24
3538,2013,6,SUN,STL,HOU,Reliant Stadium,,,,,Closed Roof,Grass,42,7.5,38,13
3539,2013,6,SUN,DET,CLE,FirstEnergy Stadium,66,78,8,W,Cloudy,Grass,44,-2.5,31,17
3540,2013,6,SUN,GB,BAL,M&T Bank Stadium,61,83,10,NE,Cloudy,MomentumTurf,48.5,-3,19,17
3541,2013,6,SUN,CIN,BUF,Ralph Wilson Stadium,65,70,11,S,Mostly Cloudy,A Turf Titan,41.5,-6.5,27,24
3542,2013,6,SUN,JAC,DEN,Sports Authority Field at Mile High,59,53,7,S,Partly Cloudy,Grass,53,26.5,19,35
3543,2013,6,SUN,TEN,SEA,CenturyLink Field,51,80,4,N,Sunny,FieldTurf,40.5,13.5,13,20
3544,2013,6,SUN,NO,NE,Gillette Stadium,59,57,7,ENE,Partly Cloudy,FieldTurf,50.5,2.5,27,30
3545,2013,6,SUN,ARI,SF,Candlestick Park,65,55,5,NW,Sunny,Grass,41,10.5,20,32
3546,2013,6,SN,WAS,DAL,AT&T Stadium,,,,,Closed Roof,AstroTurf,52,5,16,31
3547,2013,6,MN,IND,SD,Qualcomm Stadium,69,69,13,W,Sunny,Grass,50,-1.5,9,19
3548,2013,7,THU,SEA,ARI,University of Phoenix Stadium,82,13,7,S,Clear,Grass,40.5,-6,34,22
3549,2013,7,SUN,TB,ATL,Georgia Dome,,,,,Dome,AstroTurf,43,7,23,31
3550,2013,7,SUN,NE,NYJ,MetLife,63,36,11,WNW,Sunny,FieldTurf,43.5,-3.5,27,30
3551,2013,7,SUN,SD,JAC,EverBank Field,73,,12,NE,Clear,Grass,45.5,-7.5,24,6
3552,2013,7,SUN,HOU,KC,Arrowhead Stadium,70,36,15,SW,Sunny,Grass,39.5,6.5,16,17
3553,2013,7,SUN,BUF,MIA,Sun Life Stadium,87,57,5,W,Partly Cloudy,Grass,42.5,7,23,21
3554,2013,7,SUN,CIN,DET,Ford Field,,,,,Dome,FieldTurf,47,2.5,27,24
3555,2013,7,SUN,DAL,PHI,Lincoln Financial Field,60,39,13,WNW,Sunny,Grass,54.5,2.5,17,3
3556,2013,7,SUN,STL,CAR,Bank Of America Stadium,68,42,4,ENE,Sunny,Grass,42,6,15,30
3557,2013,7,SUN,CHI,WAS,FedEx Field,61,39,13,NNW,Sunny,Grass,49.5,-1,41,45
3558,2013,7,SUN,SF,TEN,LP Field,68,32,3,N,Sunny,Grass,40,-4,31,17
3559,2013,7,SUN,BAL,PIT,Heinz Field,57,49,14,SW,Partly Cloudy,Grass,41,1,16,19
3560,2013,7,SUN,CLE,GB,Lambeau Field,46,65,8,S,Rain,DD GrassMaster,45.5,10,13,31
3561,2013,7,SN,DEN,IND,Lucas Oil Stadium,57,51,11,SSW,Clear,AstroTurf,56.5,-6.5,33,39
3562,2013,7,MN,MIN,NYG,MetLife Stadium,57,63,4,S,Partly Cloudy,UBU Speed Series S5M,46.5,3.5,7,23
3563,2013,8,THU,CAR,TB,Raymond James Stadium,70,53,5,NE,Cloudy,Grass,40.5,-6,31,13
3564,2013,8,SUN,DAL,DET,Ford Field,,,,,Dome,FieldTurf,51,3,30,31
3565,2013,8,SUN,NYG,PHI,Lincoln Financial Field,56,40,13,W,Sunny,Grass,51,5,15,7
3566,2013,8,SUN,CLE,KC,Arrowhead Stadium,52,46,4,SW,Sunny,Grass,39.5,7.5,17,23
3567,2013,8,SUN,BUF,NO,Mercedes-Benz Superdome,69,,,,Dome,UBU Speed Series S5M,48,11,17,35
3568,2013,8,SUN,SF,JAC,Wembley Stadium,60,63,13,WSW,Rain,Grass,40.5,-14.5,42,10
3569,2013,8,SUN,MIA,NE,Gillette Stadium,53,45,13,W,Partly Cloudy,FieldTurf,45.5,6.5,17,27
3570,2013,8,SUN,PIT,OAK,O.co Coliseum,56,81,17,SW,Cloudy,Grass,40.5,-2,18,21
3571,2013,8,SUN,NYJ,CIN,Paul Brown Stadium,57,45,3,SE,Sunny,UBU Speed Series S5M,41.5,6.5,9,49
3572,2013,8,SUN,WAS,DEN,Sports Authority Field at Mile High,69,14,8,W,Mostly Sunny,Grass,58.5,11.5,21,45
3573,2013,8,SUN,ATL,ARI,University of Phoenix Stadium,,,,,Closed Roof,Grass,46.5,2.5,13,27
3574,2013,8,SN,GB,MIN,Mall of America Field at HHH Metrodome,65,,,,Dome,UBU Speed Series S5M,47,-9,44,31
3575,2013,8,MN,SEA,STL,Edward Jones Dome,,,,,Dome,AstroTurf,42.5,-11,14,9
3576,2013,9,THU,CIN,MIA,Sun Life Stadium,79,76,8,E,Partly Cloudy,Grass,43,-3,20,22
3577,2013,9,SUN,KC,BUF,Ralph Wilson Stadium,36,58,7,NW,Cloudy,A Turf Titan,40,-3.5,23,13
3578,2013,9,SUN,ATL,CAR,Bank of America Stadium,62,41,12,NNE,Sunny,Grass,45,7.5,10,34
3579,2013,9,SUN,SD,WAS,FedEx Field,57,41,20,N,Sunny,Grass,51,-0.5,24,30
3580,2013,9,SUN,NO,NYJ,MetLife Stadium,48,53,14,NNW,Clear,FieldTurf,45.5,-6,20,26
3581,2013,9,SUN,TEN,STL,Edward Jones Dome,,,,,Dome,AstroTurf,39.5,-3,28,21
3582,2013,9,SUN,MIN,DAL,AT&T Stadium,,,,,Closed Roof,AstroTurf,47.5,9.5,23,27
3583,2013,9,SUN,TB,SEA,CenturyLink Field,48,68,4,SSE,Sunny,FieldTurf,40.5,15.5,24,27
3584,2013,9,SUN,PHI,OAK,O.co Coliseum,62,30,6,W,Hazy,Grass,45,2.5,49,20
3585,2013,9,SUN,PIT,NE,Gillette Stadium,44,44,6,N,Partly Cloudy,FieldTurf,43.5,6.5,31,55
3586,2013,9,SUN,BAL,CLE,FirstEnergy Stadium,46,54,9,NNE,Sunny,Grass,41.5,-1.5,18,24
3587,2013,9,SN,IND,HOU,Reliant Stadium,,,,,Closed Roof,Grass,44,-1.5,27,24
3588,2013,9,MN,CHI,GB,Lambeau Field,49,77,14,S,Cloudy,DD GrassMaster,50,10.5,27,20
3589,2013,10,THU,WAS,MIN,Mall of America Field at HHH Metrodome,,,,,Dome,UBU Speed Series S5M,49.5,-2.5,27,34
3590,2013,10,SUN,PHI,GB,Lambeau Field,45,48,12,W,Mostly Sunny,DD GrassMaster,47,1,27,13
3591,2013,10,SUN,DET,CHI,Soldier Field,47,51,6,W,Mostly Sunny,Grass,52.5,1,21,19
3592,2013,10,SUN,STL,IND,Lucas Oil Stadium,,,,,Closed Roof,AstroTurf,44,9.5,38,8
3593,2013,10,SUN,CIN,BAL,M&T Bank Stadium,60,36,17,W,Sunny,MomentumTurf,44,-1.5,17,20
3594,2013,10,SUN,BUF,PIT,Heinz Field,46,56,21,W,Mostly Cloudy,Grass,43.5,3,10,23
3595,2013,10,SUN,JAC,TEN,LP Field,62,40,6,NE,Sunny,Grass,41.5,13,29,27
3596,2013,10,SUN,OAK,NYG,MetLife Stadium,49,71,14,NNW,Cloudy,UBU Speed Series S5M,43.5,7,20,24
3597,2013,10,SUN,SEA,ATL,Georgia Dome,,,,,Dome,AstroTurf,45,-5,33,10
3598,2013,10,SUN,CAR,SF,Candlestick Park,62,65,6,E,Sunny,Grass,43,6,10,9
3599,2013,10,SUN,HOU,ARI,University of Phoenix ,,,,,Closed Roof,Grass,41.5,3,24,27
3600,2013,10,SUN,DEN,SD,Qualcomm Stadium,78,14,6,SSW,Sunny,Grass,58,-7,28,20
3601,2013,10,SN,DAL,NO,Mercedes-Benz Superdome,,,,,Dome,UBU Speed Series S5M,54,7,17,49
3602,2013,10,MN,MIA,TB,Raymond James Stadium,73,74,5,N,Sunny,Grass,41,-2.5,19,22
3603,2013,11,THU,IND,TEN,LP Field,44,36,3,SSW,Clear,Grass,42,-3,30,27
3604,2013,11,SUN,OAK,HOU,Reliant Stadium,,,,,Closed Roof,Grass,41,9,28,23
3605,2013,11,SUN,NYJ,BUF,Ralph Wilson Stadium,62,71,14,S,Cloudy,A Turf Titan,40.5,-1,14,37
3606,2013,11,SUN,CLE,CIN,Paul Brown Stadium,62,92,7,S,Cloudy,UBU Speed Series S5M,42,5.5,20,41
3607,2013,11,SUN,BAL,CHI,Soldier Field,68,82,17,S,Rain,Grass,44,3,20,23
3608,2013,11,SUN,SD,MIA,Sun Life Stadium,81,67,12,ESE,Cloudy,Grass,45.5,-1,16,20
3609,2013,11,SUN,ARI,JAC,Everbank Field,76,,8,E,Chance Rain,Grass,41,-9,27,14
3610,2013,11,SUN,ATL,TB,Raymond James Stadium,79,74,6,N,Cloudy,Grass,43.5,0,28,41
3611,2013,11,SUN,DET,PIT,Heinz Field,60,87,12,S,Thunderstorms,Grass,46.5,-2.5,27,37
3612,2013,11,SUN,WAS,PHI,Lincoln Financial Field,64,71,7,SSW,Partly Sunny,Grass,52.5,4.5,16,24
3613,2013,11,SUN,MIN,SEA,CenturyLink Field,50,81,14,S,Sunny,FieldTurf,45,12,20,41
3614,2013,11,SUN,SF,NO,Mercedes-Benz Superdome,79,,,,Dome,UBU Speed Series S5M,48,3,20,23
3615,2013,11,SUN,GB,NYG,MetLife Stadium,59,100,2,SE,Mostly Cloudy,UBU Speed Series S5M,42,4.5,13,27
3616,2013,11,SN,KC,DEN,Sports Authority Field at Mile High,43,34,6,E,Clear,Grass,49,8.5,17,27
3617,2013,11,MN,NE,CAR,Bank of America Stadium,59,35,8,NNW,Cloudy,Grass,46,2.5,20,24
3618,2013,12,THU,NO,ATL,Georgia Dome,,,,,Dome,AstroTurf,53,-9.5,17,13
3619,2013,12,SUN,CAR,MIA,Sun Life Stadium,82,55,13,NNE,Cloudy,Grass,41,-4.5,20,16
3620,2013,12,SUN,SD,KC,Arrowhead Stadium,24,50,3,S,Mostly Sunny,Grass,41.5,4.5,41,38
3621,2013,12,SUN,PIT,CLE,FirstEnergy Stadium,20,84,31,W,Snow,Grass,40,1,27,11
3622,2013,12,SUN,JAC,HOU,Reliant Stadium,,,,,Closed Roof,Grass,43.5,10,13,6
3623,2013,12,SUN,NYJ,BAL,M&T Bank Stadium,33,23,26,NW,Partly Cloudy,MomentumTurf,39,4,3,19
3624,2013,12,SUN,MIN,GB,Lambeau Field,19,52,10,SW,Mostly Cloudy,DD GrassMaster,43.5,4.5,26,26
3625,2013,12,SUN,TB,DET,Ford Field,,,,,Dome,FieldTurf,49,9,24,21
3626,2013,12,SUN,CHI,STL,Edward Jones Dome,,,,,Dome,AstroTurf,45.5,1,21,42
3627,2013,12,SUN,IND,ARI,University of Phoenix Stadium,,,,,Closed Roof,Grass,45,2.5,11,40
3628,2013,12,SUN,TEN,OAK,O.Co Coliseum ,58,56,5,W,Sunny,Grass,41.5,1,23,19
3629,2013,12,SUN,DAL,NYG,MetLife Stadium,25,40,6,W,Clear,UBU Speed Series S5M,45.5,2.5,24,21
3630,2013,12,SN,DEN,NE,Gillette Stadium,22,29,22,WNW,Clear,FieldTurf,54,-2.5,31,34
3631,2013,12,MN,SF,WAS,FedEx Field,35,37,12,SSW,Sunny,Grass,47,-5,27,6
3632,2013,13,THU,GB,DET,Ford Field,,,,,Dome,FieldTurf,49,6.5,10,40
3633,2013,13,THU,OAK,DAL,AT&T Stadium,,,,,Closed Roof,AstroTurf,47.5,7.5,24,31
3634,2013,13,THU,PIT,BAL,M&T Bank Stadium,37,39,2,WSW,Clear,MomentumTurf,41,2.5,20,22
3635,2013,13,SUN,DEN,KC,Arrowhead Stadium,55,47,4,NW,Sunny,Grass,48.5,-5.5,35,28
3636,2013,13,SUN,JAC,CLE,FirstEnergy Stadium,40,61,7,SW,Cloudy,Grass,40,7,32,28
3637,2013,13,SUN,TEN,IND,Lucas Oil Stadium,,,,,Closed Roof,AstroTurf,45,3.5,14,22
3638,2013,13,SUN,ARI,PHI,Lincoln Financial Field,46,53,4,SSW,Sunny,Grass,48.5,3,21,24
3639,2013,13,SUN,MIA,NYJ,MetLife Stadium,48,59,4,S,Partly Cloudy,FieldTurf,40,2,23,3
3640,2013,13,SUN,CHI,MIN,Mall of America Field at HHH Metrodome,66,,,,Dome,UBU Speed Series S5M,50,1,20,23
3641,2013,13,SUN,TB,CAR,Bank of America Stadium,56,55,2,SW,Partly Cloudy,Grass,41.5,8.5,6,27
3642,2013,13,SUN,STL,SF,Candlestick Park,59,72,6,N,Sunny,Grass,42,8,13,23
3643,2013,13,SUN,ATL,BUF,Rogers Centre,,,,,Closed Roof,AstroTurf,46.5,3,34,31
3644,2013,13,SUN,CIN,SD,Qualcomm Stadium,77,26,5,WNW,Sunny,Grass,48.5,1,17,10
3645,2013,13,SUN,NE,HOU,Reliant Stadium,,,,,Closed Roof,Grass,47,-7.5,34,31
3646,2013,13,SN,NYG,WAS,FedEx Field,43,72,0,CALM,Cloudy,Grass,45.5,-1,24,17
3647,2013,13,MN,NO,SEA,CenturyLink Field,41,62,6,S,Cloudy,FieldTurf,47,5.5,7,34
3648,2013,14,THU,HOU,JAC,EverBank Field,72,73,7,S,Clear,Grass,43.5,-3,20,27
3649,2013,14,SUN,CLE,NE,Gillette Stadium,30,46,5,NNW,Cloudy,FieldTurf,46,11,26,27
3650,2013,14,SUN,IND,CIN,Paul Brown Stadium,25,85,7,ENE,Snow,UBU Speed Series S5M,43,6.5,28,42
3651,2013,14,SUN,BUF,TB,Raymond James Stadium,82,62,13,SE,Cloudy,Grass,42,2.5,6,27
3652,2013,14,SUN,ATL,GB,Lambeau Field,9,80,6,NE,Cloudy,DD GrassMaster,44.5,3.5,21,22
3653,2013,14,SUN,MIN,BAL,M&T Bank Stadium,33,67,7,NE,Light Snow,MomentumTurf,42,7,26,29
3654,2013,14,SUN,MIA,PIT,Heinz Field,25,73,9,E,Light Snow,Grass,40.5,3,34,28
3655,2013,14,SUN,OAK,NYJ,MetLife,33,51,6,NNE,Cloudy,FieldTurf,40,3,27,37
3656,2013,14,SUN,KC,WAS,FedEx Field,30,79,10,NNE,Snow,Grass,44.5,-3,45,10
3657,2013,14,SUN,DET,PHI,Lincoln Financial Field,27,56,6,NE,Snow,Grass,53.5,2.5,20,34
3658,2013,14,SUN,TEN,DEN,Sports Authority Field at Mile High,18,63,5,NE,Mostly Sunny,Grass,48.5,12,28,51
3659,2013,14,SUN,STL,ARI,University of Phoenix Stadium,,,,,Closed Roof,Grass,41.5,6,10,30
3660,2013,14,SUN,NYG,SD,Qualcomm Stadium,53,53,8,SW,Sunny,Grass,47,3.5,14,37
3661,2013,14,SUN,SEA,SF,Candlestick Park,43,49,5,E,Sunny,Grass,41,2.5,17,19
3662,2013,14,SN,CAR,NO,Mercedes-Benz Superdome,,,,,Dome,UBU Speed Series S5M,46,3,13,31
3663,2013,14,MN,DAL,CHI,Soldier Field,8,63,14,W,Partly Cloudy,Grass,48,0,28,45
3664,2013,15,THU,SD,DEN,Sports Authority Field at Mile High,37,50,2,E,Clear,Grass,56,10,27,20
3665,2013,15,SUN,CHI,CLE,FirstEnergy Stadium,25,82,12,WSW,Flurries,Grass,44,0,38,31
3666,2013,15,SUN,HOU,IND,Lucas Oil Stadium,,,,,Closed Roof,AstroTurf,45.5,5.5,3,25
3667,2013,15,SUN,BUF,JAC,EverBank Field,60,,20,,Chance Rain,Grass,43,-2,27,20
3668,2013,15,SUN,WAS,ATL,Geogia Dome,,,,,Dome,FieldTurf,49.5,7,26,27
